200.0.0.0 200.0.0.0 JP  
200.9.32.0 200.9.63.255 CR  
200.9.64.0 200.9.64.255 CL  
200.9.65.0 200.9.71.255 BR  
200.9.72.0 200.9.72.255 CO  
200.9.73.0 200.9.73.255 CL  
200.9.74.0 200.9.74.255 GT  
200.9.75.0 200.9.75.255 AR  
200.9.76.0 200.9.78.255 BR  
200.9.79.0 200.9.81.255 CL  
200.9.82.0 200.9.83.255 US  
200.9.84.0 200.9.93.255 BR  
200.9.94.0 200.9.94.255 CO  
200.9.95.0 200.9.95.255 BR  
200.9.96.0 200.9.96.255 EC  
200.9.97.0 200.9.101.255 CL  
200.9.102.0 200.9.107.255 BR  
200.9.108.0 200.9.111.255 CL  
200.9.112.0 200.9.114.255 BR  
200.9.115.0 200.9.115.255 JM  
200.9.116.0 200.9.119.255 CR  
200.9.120.0 200.9.120.255 HN  
200.9.121.0 200.9.121.255 BR  
200.9.122.0 200.9.122.255 CL  
200.9.123.0 200.9.127.255 BR  
200.9.128.0 200.9.128.255 CL  
200.9.129.0 200.9.140.255 BR  
200.9.141.0 200.9.142.255 CL  
200.9.143.0 200.9.144.255 BR  
200.9.145.0 200.9.146.255 CL  
200.9.147.0 200.9.147.255 AR  
200.9.148.0 200.9.149.255 BR  
200.9.150.0 200.9.153.255 CL  
200.9.157.0 200.9.157.255 AR  
200.9.158.0 200.9.164.255 BR  
200.9.165.0 200.9.168.255 BO  
200.9.169.0 200.9.175.255 BR  
200.9.176.0 200.9.176.255 EC  
200.9.177.0 200.9.180.255 CL  
200.9.181.0 200.9.181.255 AR  
200.9.182.0 200.9.183.255 MX  
200.9.184.0 200.9.184.255 BR  
200.9.185.0 200.9.185.255 MX  
200.9.186.0 200.9.186.255 BR  
200.9.187.0 200.9.192.255 NI  
200.9.193.0 200.9.193.255 CL  
200.9.194.0 200.9.194.255 AR  
200.9.195.0 200.9.198.255 CL  
200.9.199.0 200.9.200.255 BR  
200.9.201.0 200.9.201.255 CL  
200.9.202.0 200.9.203.255 BR  
200.9.204.0 200.9.205.255 CL  
200.9.206.0 200.9.207.255 BR  
200.9.208.0 200.9.208.255 AR  
200.9.209.0 200.9.211.255 CR  
200.9.212.0 200.9.213.255 AR  
200.9.214.0 200.9.214.255 BR  
200.9.215.0 200.9.215.255 CL  
200.9.216.0 200.9.218.255 TT  
200.9.219.0 200.9.219.255 AR  
200.9.220.0 200.9.224.255 BR  
200.9.225.0 200.9.225.255 CL  
200.9.226.0 200.9.226.255 BR  
200.9.227.0 200.9.227.255 AR  
200.9.228.0 200.9.228.255 CL  
200.9.229.0 200.9.229.255 BR  
200.9.230.0 200.9.233.255 CL  
200.9.234.0 200.9.234.255 BR  
200.9.235.0 200.9.237.255 AR  
200.9.238.0 200.9.241.255 CL  
200.9.242.0 200.9.246.255 AR  
200.9.247.0 200.9.247.255 CL  
200.9.248.0 200.9.248.255 EC  
200.9.249.0 200.9.252.255 BR  
200.9.253.0 200.9.254.255 AR  
200.9.255.0 200.9.255.255 GT  
200.10.0.0 200.10.3.255 CL  
200.10.4.0 200.10.7.255 BR  
200.10.8.0 200.10.14.255 CL  
200.10.15.0 200.10.15.255 PA  
200.10.16.0 200.10.27.255 CL  
200.10.28.0 200.10.31.255 SV  
200.10.32.0 200.10.36.199 BR  
200.10.36.200 200.10.36.207 IS  
200.10.36.208 200.10.41.63 BR  
200.10.41.64 200.10.41.79 FR  
200.10.41.80 200.10.41.207 BR  
200.10.41.208 200.10.41.215 DE  
200.10.41.216 200.10.42.183 BR  
200.10.42.184 200.10.42.191 IT  
200.10.42.192 200.10.43.119 BR  
200.10.43.120 200.10.43.127 CA  
200.10.43.128 200.10.59.255 BR  
200.10.60.0 200.10.63.255 UY  
200.10.64.0 200.10.95.255 PE  
200.10.96.0 200.10.129.255 AR  
200.10.130.0 200.10.131.255 PE  
200.10.132.0 200.10.138.255 BR  
200.10.139.0 200.10.140.255 AR  
200.10.141.0 200.10.141.255 PY  
200.10.142.0 200.10.142.255 DO  
200.10.143.0 200.10.143.255 MX  
200.10.144.0 200.10.144.255 BR  
200.10.145.0 200.10.145.255 CR  
200.10.146.0 200.10.146.255 BR  
200.10.147.0 200.10.151.255 EC  
200.10.152.0 200.10.152.255 JM  
200.10.153.0 200.10.154.255 BR  
200.10.155.0 200.10.155.255 US  
200.10.156.0 200.10.156.255 BR  
200.10.157.0 200.10.157.255 BO  
200.10.158.0 200.10.158.255 CL  
200.10.159.0 200.10.159.255 BR  
200.10.160.0 200.10.160.255 US  
200.10.161.0 200.10.161.255 AR  
200.10.162.0 200.10.162.255 DO  
200.10.163.0 200.10.163.255 BR  
200.10.164.0 200.10.164.255 CO  
200.10.165.0 200.10.166.255 BM  
200.10.167.0 200.10.172.255 CL  
200.10.173.0 200.10.173.255 GT  
200.10.174.0 200.10.175.255 BR  
200.10.176.0 200.10.177.255 CR  
200.10.178.0 200.10.181.255 BR  
200.10.182.0 200.10.182.255 CL  
200.10.183.0 200.10.183.255 BR  
200.10.184.0 200.10.184.255 CL  
200.10.185.0 200.10.185.255 BR  
200.10.186.0 200.10.186.255 AR  
200.10.187.0 200.10.187.255 BR  
200.10.188.0 200.10.188.255 PE  
200.10.189.0 200.10.189.255 BR  
200.10.190.0 200.10.190.255 CL  
200.10.191.0 200.10.193.255 BR  
200.10.194.0 200.10.194.255 BZ  
200.10.195.0 200.10.195.255 CL  
200.10.196.0 200.10.196.255 AR  
200.10.197.0 200.10.198.255 MX  
200.10.199.0 200.10.199.255 AR  
200.10.200.0 200.10.200.255 MX  
200.10.201.0 200.10.202.255 AR  
200.10.203.0 200.10.203.255 PA  
200.10.204.0 200.10.204.255 AR  
200.10.205.0 200.10.205.255 NI  
200.10.206.0 200.10.206.255 BR  
200.10.207.0 200.10.207.255 AR  
200.10.208.0 200.10.208.255 CL  
200.10.209.0 200.10.210.255 BR  
200.10.211.0 200.10.211.255 CL  
200.10.212.0 200.10.218.255 MX  
200.10.219.0 200.10.219.255 AR  
200.10.220.0 200.10.226.255 CL  
200.10.227.0 200.10.227.255 BR  
200.10.228.0 200.10.231.255 PY  
200.10.232.0 200.10.232.255 CL  
200.10.233.0 200.10.233.255 MX  
200.10.234.0 200.10.234.255 CL  
200.10.236.0 200.10.238.255 CL  
200.10.239.0 200.10.239.255 BR  
200.10.240.0 200.10.240.255 MX  
200.10.241.0 200.10.241.255 GT  
200.10.242.0 200.10.242.255 CL  
200.10.243.0 200.10.244.255 MX  
200.10.245.0 200.10.245.255 BR  
200.10.246.0 200.10.249.255 MX  
200.10.250.0 200.10.250.255 PE  
200.10.251.0 200.10.253.255 CL  
200.10.254.0 200.10.254.255 VE  
200.10.255.0 200.10.255.255 CL  
200.11.0.0 200.11.28.255 BR  
200.11.29.0 200.11.29.255 AR  
200.11.30.0 200.11.30.255 NI  
200.11.31.0 200.11.31.255 SV  
200.11.32.0 200.11.32.255 PE  
200.11.33.0 200.11.33.255 AR  
200.11.34.0 200.11.39.255 PE  
200.11.40.0 200.11.47.255 CO  
200.11.48.0 200.11.63.255 PE  
200.11.64.0 200.11.103.255 CL  
200.11.104.0 200.11.111.255 DO  
200.11.112.0 200.11.119.255 AR  
200.11.128.0 200.11.191.255 KY  
200.11.192.0 200.11.255.255 VE  
200.12.0.0 200.12.15.255 BR  
200.12.16.0 200.12.31.255 CL  
200.12.32.0 200.12.63.255 GT  
200.12.64.0 200.12.128.255 MX  
200.12.129.0 200.12.130.255 CL  
200.12.131.0 200.12.131.255 BR  
200.12.132.0 200.12.132.255 CL  
200.12.133.0 200.12.138.255 AR  
200.12.139.0 200.12.139.255 BR  
200.12.140.0 200.12.145.255 CL  
200.12.146.0 200.12.146.255 PY  
200.12.147.0 200.12.152.255 CL  
200.12.153.0 200.12.153.255 PA  
200.12.154.0 200.12.154.255 AR  
200.12.155.0 200.12.156.255 UY  
200.12.157.0 200.12.157.255 BR  
200.12.158.0 200.12.166.255 MX  
200.12.167.0 200.12.167.255 CR  
200.12.168.0 200.12.168.255 US  
200.12.169.0 200.12.169.255 EC  
200.12.170.0 200.12.170.255 CO  
200.12.171.0 200.12.171.255 CL  
200.12.172.0 200.12.174.255 SV  
200.12.175.0 200.12.191.255 CO  
200.12.192.0 200.12.192.255 AR  
200.12.193.0 200.12.193.255 VE  
200.12.194.0 200.12.195.255 CL  
200.12.196.0 200.12.199.255 EC  
200.12.200.0 200.12.207.255 AR  
200.12.208.0 200.12.215.255 PA  
200.12.216.0 200.12.223.255 AR  
200.12.224.0 200.12.225.255 US  
200.12.226.0 200.12.226.255 SV  
200.12.227.0 200.12.228.255 HN  
200.12.229.0 200.12.230.255 SV  
200.12.231.0 200.12.231.255 GT  
200.12.232.0 200.12.234.255 SV  
200.12.235.0 200.12.236.255 US  
200.12.237.0 200.12.237.255 SV  
200.12.238.0 200.12.239.255 CR  
200.12.240.0 200.12.247.255 TT  
200.12.248.0 200.12.255.255 BO  
200.13.0.0 200.13.7.255 CL  
200.13.8.0 200.13.15.255 BR  
200.13.16.0 200.13.40.255 MX  
200.13.41.0 200.13.47.255 AR  
200.13.48.0 200.13.82.255 MX  
200.13.83.0 200.13.83.255 AR  
200.13.88.0 200.13.131.255 MX  
200.13.132.0 200.13.135.255 HN  
200.13.136.0 200.13.143.255 GF  
200.13.144.0 200.13.151.255 CU  
200.13.152.0 200.13.159.255 BO  
200.13.160.0 200.13.162.255 SV  
200.13.163.0 200.13.167.255 HN  
200.13.168.0 200.13.174.255 SV  
200.13.175.0 200.13.179.255 HN  
200.13.180.0 200.13.180.255 SV  
200.13.181.0 200.13.183.255 HN  
200.13.184.0 200.13.186.255 SV  
200.13.187.0 200.13.188.255 HN  
200.13.189.0 200.13.191.255 SV  
200.13.192.0 200.13.255.255 CO  
200.14.0.0 200.14.7.255 CL  
200.14.8.0 200.14.15.255 VE  
200.14.16.0 200.14.31.255 MX  
200.14.32.0 200.14.33.255 BR  
200.14.34.0 200.14.34.255 EC  
200.14.35.0 200.14.35.255 BR  
200.14.36.0 200.14.36.255 DO  
200.14.37.0 200.14.39.255 AR  
200.14.40.0 200.14.47.255 CO  
200.14.48.0 200.14.55.255 CU  
200.14.64.0 200.14.73.255 CL  
200.14.74.0 200.14.75.255 AR  
200.14.76.0 200.14.78.255 CL  
200.14.79.0 200.14.79.255 DO  
200.14.80.0 200.14.80.255 CL  
200.14.81.0 200.14.81.255 PA  
200.14.82.0 200.14.82.255 CL  
200.14.83.0 200.14.83.255 EC  
200.14.84.0 200.14.111.255 CL  
200.14.112.0 200.14.113.255 CO  
200.14.114.0 200.14.115.255 CL  
200.14.116.0 200.14.116.255 AR  
200.14.117.0 200.14.118.255 CL  
200.14.119.0 200.14.119.255 PA  
200.14.128.0 200.14.205.255 CL  
200.14.206.0 200.14.207.127 CO  
200.14.207.128 200.14.230.255 CL  
200.14.231.0 200.14.231.127 CO  
200.14.231.128 200.14.234.255 CL  
200.14.235.0 200.14.236.255 CO  
200.14.237.0 200.14.237.255 CL  
200.14.238.0 200.14.239.255 CO  
200.14.240.0 200.14.252.255 CL  
200.14.253.0 200.14.253.127 CO  
200.14.253.128 200.14.255.255 CL  
200.15.0.0 200.15.3.255 BR  
200.15.4.0 200.15.255.255 US  
200.16.0.0 200.16.7.255 PE  
200.16.8.0 200.16.15.255 ZA  
200.16.16.0 200.16.31.255 AR  
200.16.32.0 200.16.63.255 MX  
200.16.64.0 200.16.65.255 AR  
200.16.66.0 200.16.67.255 CR  
200.16.68.0 200.16.68.255 VE  
200.16.69.0 200.16.69.63 US  
200.16.69.64 200.16.71.255 VE  
200.16.72.0 200.16.78.255 AR  
200.16.79.0 200.16.79.255 CO  
200.16.80.0 200.16.87.255 AR  
200.16.88.0 200.16.88.255 US  
200.16.89.0 200.16.89.255 AR  
200.16.90.0 200.16.91.255 DO  
200.16.92.0 200.16.93.255 CW  
200.16.94.0 200.16.94.255 EC  
200.16.95.0 200.16.95.255 VE  
200.16.96.0 200.16.111.255 AR  
200.16.112.0 200.16.115.255 CL  
200.16.116.0 200.16.116.255 AR  
200.16.117.0 200.16.119.255 CO  
200.16.120.0 200.16.255.255 AR  
200.17.0.0 200.20.255.255 BR  
200.21.0.0 200.21.255.255 CO  
200.22.0.0 200.22.255.255 CL  
200.23.0.0 200.23.30.255 MX  
200.23.31.0 200.23.31.255 BR  
200.23.32.0 200.23.64.255 MX  
200.23.65.0 200.23.65.255 DO  
200.23.66.0 200.23.67.255 MX  
200.23.68.0 200.23.71.255 BR  
200.23.72.0 200.23.83.255 MX  
200.23.85.0 200.23.114.255 MX  
200.23.117.0 200.23.117.255 MX  
200.23.120.0 200.23.147.255 MX  
200.23.149.0 200.23.151.255 MX  
200.23.154.0 200.23.179.255 MX  
200.23.180.0 200.23.183.255 BR  
200.23.184.0 200.23.188.255 MX  
200.23.190.0 200.23.204.255 MX  
200.23.208.0 200.23.223.255 MX  
200.23.224.0 200.23.239.255 BR  
200.23.240.0 200.23.253.255 MX  
200.24.0.0 200.24.9.255 CO  
200.24.10.0 200.24.11.255 BR  
200.24.12.0 200.24.15.255 CL  
200.24.16.0 200.24.63.255 CO  
200.24.64.0 200.24.95.255 BR  
200.24.96.0 200.24.127.255 CO  
200.24.128.0 200.24.159.255 EC  
200.24.160.0 200.24.191.255 PE  
200.24.192.0 200.24.223.255 EC  
200.24.224.0 200.24.239.255 CL  
200.24.240.0 200.24.255.255 AR  
200.25.0.0 200.25.127.255 CO  
200.25.128.0 200.25.223.255 EC  
200.25.224.0 200.25.255.255 CO  
200.26.0.0 200.26.127.255 AR  
200.26.128.0 200.26.159.255 CO  
200.26.160.0 200.26.167.255 VE  
200.26.168.0 200.26.175.255 DO  
200.26.176.0 200.26.183.255 PY  
200.26.184.0 200.26.191.255 AR  
200.26.192.0 200.26.255.255 CW  
200.27.0.0 200.29.95.255 CL  
200.29.96.0 200.29.127.255 CO  
200.29.128.0 200.29.231.255 CL  
200.29.232.0 200.29.239.255 CO  
200.29.240.0 200.29.247.255 EC  
200.29.248.0 200.29.255.255 AR  
200.30.0.0 200.30.7.255 BR  
200.30.8.0 200.30.11.255 VE  
200.30.12.0 200.30.13.255 PE  
200.30.14.0 200.30.14.255 CA  
200.30.15.0 200.30.15.255 FR  
200.30.16.0 200.30.19.255 US  
200.30.20.0 200.30.23.255 PR  
200.30.24.0 200.30.24.255 US  
200.30.25.0 200.30.27.255 MX  
200.30.28.0 200.30.30.255 VE  
200.30.31.0 200.30.31.255 US  
200.30.32.0 200.30.35.255 CL  
200.30.36.0 200.30.36.255 NI  
200.30.37.0 200.30.37.255 PR  
200.30.38.0 200.30.39.255 GT  
200.30.40.0 200.30.41.255 SZ  
200.30.42.0 200.30.45.255 CO  
200.30.46.0 200.30.46.255 CL  
200.30.47.0 200.30.47.255 CO  
200.30.48.0 200.30.52.255 NI  
200.30.53.0 200.30.53.255 PR  
200.30.54.0 200.30.54.255 CO  
200.30.55.0 200.30.59.255 VE  
200.30.60.0 200.30.63.255 CL  
200.30.64.0 200.30.127.255 CO  
200.30.128.0 200.30.128.255 NI  
200.30.129.0 200.30.129.15 GT  
200.30.129.16 200.30.129.23 HN  
200.30.129.24 200.30.129.31 GT  
200.30.129.32 200.30.129.39 HN  
200.30.129.40 200.30.129.87 GT  
200.30.129.88 200.30.129.91 HN  
200.30.129.92 200.30.129.255 GT  
200.30.130.0 200.30.130.255 NI  
200.30.131.0 200.30.131.255 SV  
200.30.132.0 200.30.132.255 NI  
200.30.133.0 200.30.133.255 GT  
200.30.134.0 200.30.136.255 HN  
200.30.137.0 200.30.137.127 GT  
200.30.137.128 200.30.137.135 HN  
200.30.137.136 200.30.137.255 GT  
200.30.138.0 200.30.138.255 SV  
200.30.139.0 200.30.152.215 GT  
200.30.152.216 200.30.152.223 SV  
200.30.152.224 200.30.152.255 GT  
200.30.153.0 200.30.153.255 SV  
200.30.154.0 200.30.154.255 GT  
200.30.155.0 200.30.157.15 HN  
200.30.157.16 200.30.157.47 GT  
200.30.157.48 200.30.157.55 HN  
200.30.157.56 200.30.157.223 GT  
200.30.157.224 200.30.157.231 HN  
200.30.157.232 200.30.161.255 GT  
200.30.162.0 200.30.162.255 SV  
200.30.163.0 200.30.163.111 GT  
200.30.163.112 200.30.163.119 HN  
200.30.163.120 200.30.163.135 GT  
200.30.163.136 200.30.163.143 HN  
200.30.163.144 200.30.163.255 GT  
200.30.164.0 200.30.164.255 HN  
200.30.165.0 200.30.165.55 GT  
200.30.165.56 200.30.165.63 NI  
200.30.165.64 200.30.167.255 GT  
200.30.168.0 200.30.169.255 HN  
200.30.170.0 200.30.170.255 NI  
200.30.171.0 200.30.171.15 GT  
200.30.171.16 200.30.171.23 SV  
200.30.171.24 200.30.171.79 GT  
200.30.171.80 200.30.171.95 SV  
200.30.171.96 200.30.171.255 GT  
200.30.172.0 200.30.172.255 HN  
200.30.173.0 200.30.176.255 GT  
200.30.177.0 200.30.177.255 NI  
200.30.178.0 200.30.178.255 HN  
200.30.179.0 200.30.179.255 SV  
200.30.180.0 200.30.181.255 GT  
200.30.182.0 200.30.182.255 NI  
200.30.183.0 200.30.184.255 GT  
200.30.185.0 200.30.185.255 HN  
200.30.186.0 200.30.189.47 GT  
200.30.189.48 200.30.189.63 CR  
200.30.189.64 200.30.189.255 GT  
200.30.190.0 200.30.190.127 HN  
200.30.190.128 200.30.191.255 GT  
200.30.192.0 200.30.255.255 CL  
200.31.0.0 200.31.0.199 US  
200.31.0.200 200.31.0.203 AR  
200.31.0.204 200.31.0.255 US  
200.31.1.0 200.31.4.47 AR  
200.31.4.48 200.31.4.63 VE  
200.31.4.64 200.31.4.159 AR  
200.31.4.160 200.31.4.175 VE  
200.31.4.176 200.31.4.191 AR  
200.31.4.192 200.31.4.207 VE  
200.31.4.208 200.31.4.231 AR  
200.31.4.232 200.31.4.239 VE  
200.31.4.240 200.31.5.191 AR  
200.31.5.192 200.31.5.255 VE  
200.31.6.0 200.31.6.127 AR  
200.31.6.128 200.31.6.255 EC  
200.31.7.0 200.31.7.79 AR  
200.31.7.80 200.31.7.95 US  
200.31.7.96 200.31.7.127 AR  
200.31.7.128 200.31.7.191 US  
200.31.7.192 200.31.7.255 AR  
200.31.8.0 200.31.9.255 EC  
200.31.10.0 200.31.10.47 AR  
200.31.10.48 200.31.10.55 EC  
200.31.10.56 200.31.10.167 AR  
200.31.10.168 200.31.10.175 EC  
200.31.10.176 200.31.11.255 AR  
200.31.12.0 200.31.16.255 CO  
200.31.17.0 200.31.17.15 AR  
200.31.17.16 200.31.17.23 CO  
200.31.17.24 200.31.17.47 AR  
200.31.17.48 200.31.17.55 CO  
200.31.17.56 200.31.18.127 AR  
200.31.18.128 200.31.18.255 CO  
200.31.19.0 200.31.19.183 AR  
200.31.19.184 200.31.19.187 CO  
200.31.19.188 200.31.19.191 AR  
200.31.19.192 200.31.19.199 CO  
200.31.19.200 200.31.20.167 AR  
200.31.20.168 200.31.20.175 CO  
200.31.20.176 200.31.21.143 AR  
200.31.21.144 200.31.21.151 CO  
200.31.21.152 200.31.21.167 AR  
200.31.21.168 200.31.21.175 CO  
200.31.21.176 200.31.21.215 AR  
200.31.21.216 200.31.21.223 CO  
200.31.21.224 200.31.22.15 AR  
200.31.22.16 200.31.22.31 CO  
