5.0.0.1 5.0.255.255 SY  
5.10.224.0 5.10.231.255 IQ  
5.10.232.0 5.10.239.255 GB  
5.10.240.0 5.10.255.255 AZ  
5.11.0.0 5.11.7.255 AT  
5.11.8.0 5.11.15.255 GB  
5.11.32.0 5.11.39.255 IT  
5.11.40.0 5.11.47.255 PS  
5.11.48.0 5.11.55.255 DE  
5.11.56.0 5.11.63.255 GR  
5.11.64.0 5.11.79.255 RU  
5.11.80.0 5.11.95.255 GB  
5.11.96.0 5.11.127.255 IT  
5.11.128.0 5.11.255.255 TR  
5.12.0.0 5.15.255.255 RO  
5.16.0.0 5.19.255.255 RU  
5.20.0.0 5.20.255.255 LT  
5.21.0.0 5.21.255.255 OM  
5.22.0.0 5.22.127.255 IR  
5.22.128.0 5.22.135.255 IL  
5.22.136.0 5.22.143.255 GB  
5.22.144.0 5.22.151.255 DE  
5.22.152.0 5.22.152.255 CZ  
5.22.153.0 5.22.153.255 RU  
5.22.154.0 5.22.154.255 SK  
5.22.155.0 5.22.155.255 RU  
5.22.156.0 5.22.159.255 UA  
5.22.160.0 5.22.191.255 RS  
5.22.192.0 5.22.223.255 IR  
5.22.224.0 5.22.231.255 GB  
5.22.232.0 5.22.232.255 SE  
5.22.233.0 5.22.233.255 DK  
5.22.234.0 5.22.239.255 SE  
5.22.240.0 5.22.247.255 DE  
5.22.248.0 5.22.255.255 NL  
5.23.4.0 5.23.4.7 IT  
5.23.8.0 5.23.8.255 TR  
5.23.10.0 5.23.10.255 BE  
5.23.12.0 5.23.15.255 ES  
5.23.20.0 5.23.20.255 SA  
5.23.24.0 5.23.25.255 FR  
5.23.28.0 5.23.28.7 ES  
5.23.32.0 5.23.39.255 IT  
5.23.40.0 5.23.47.255 FR  
5.23.48.0 5.23.55.255 RU  
5.23.56.0 5.23.63.255 FI  
5.23.64.0 5.23.95.255 IS  
5.23.96.0 5.23.111.255 RU  
5.23.112.0 5.23.119.255 IR  
5.23.120.0 5.23.127.255 TR  
5.23.128.0 5.23.255.255 BE  
5.24.0.0 5.27.255.255 TR  
5.28.0.0 5.28.7.255 HU  
5.28.8.0 5.28.15.255 IT  
5.28.16.0 5.28.31.255 RU  
5.28.32.0 5.28.39.255 IR  
5.28.40.0 5.28.47.255 DE  
5.28.48.0 5.28.63.255 GB  
5.28.64.0 5.28.127.255 DE  
5.28.128.0 5.28.191.255 IL  
5.28.192.0 5.28.255.255 DE  
5.29.0.0 5.29.255.255 IL  
5.30.0.0 5.32.127.255 AE  
5.32.128.0 5.32.135.255 BG  
5.32.136.0 5.32.143.255 SI  
5.32.144.0 5.32.151.255 RU  
5.32.152.0 5.32.159.255 GB  
5.32.160.0 5.32.167.255 DE  
5.32.168.0 5.32.175.255 MD  
5.32.176.0 5.32.183.255 MK  
5.32.184.0 5.32.191.255 DE  
5.32.192.0 5.32.255.255 OM  
5.33.0.0 5.33.255.255 DK  
5.34.0.0 5.34.127.255 KZ  
5.34.128.0 5.34.159.255 ES  
5.34.160.0 5.34.167.255 PS  
5.34.168.0 5.34.175.255 IL  
5.34.176.0 5.34.183.255 UA  
5.34.184.0 5.34.191.255 IT  
5.34.192.0 5.34.223.255 IR  
5.34.224.0 5.34.231.255 DE  
5.34.232.0 5.34.239.255 NL  
5.34.240.0 5.34.245.255 SE  
5.34.246.0 5.34.247.255 US  
5.34.248.0 5.34.255.255 LI  
5.35.0.0 5.35.159.255 RU  
5.35.160.0 5.35.167.255 JE  
5.35.168.0 5.35.183.255 NL  
5.35.184.0 5.35.191.255 SE  
5.35.192.0 5.35.199.255 BE  
5.35.200.0 5.35.207.255 ES  
5.35.208.0 5.35.215.255 RO  
5.35.216.0 5.35.223.255 ES  
5.35.224.0 5.35.255.255 DE  
5.36.0.0 5.37.255.255 OM  
5.38.0.0 5.38.127.255 AE  
5.38.128.0 5.38.255.255 HU  
5.39.0.0 5.39.1.255 FR  
5.39.2.0 5.39.2.3 ES  
5.39.2.4 5.39.2.11 FR  
5.39.2.12 5.39.2.15 ES  
5.39.2.16 5.39.2.55 FR  
5.39.2.56 5.39.2.63 PL  
5.39.2.64 5.39.2.95 FR  
5.39.2.96 5.39.2.103 IT  
5.39.2.104 5.39.2.191 FR  
5.39.2.192 5.39.2.195 ES  
5.39.2.196 5.39.2.203 FR  
5.39.2.204 5.39.2.204 ES  
5.39.2.205 5.39.2.206 CH  
5.39.2.207 5.39.2.207 ES  
5.39.2.208 5.39.2.227 FR  
5.39.2.228 5.39.2.228 PL  
5.39.2.229 5.39.2.243 FR  
5.39.2.244 5.39.2.247 ES  
5.39.2.248 5.39.2.255 FR  
5.39.3.0 5.39.3.255 GB  
5.39.4.0 5.39.4.39 FR  
5.39.4.40 5.39.4.43 ES  
5.39.4.44 5.39.5.187 FR  
5.39.5.188 5.39.5.191 ES  
5.39.5.192 5.39.6.15 FR  
5.39.6.16 5.39.6.19 ES  
5.39.6.20 5.39.8.87 FR  
5.39.8.88 5.39.8.91 ES  
5.39.8.92 5.39.8.255 FR  
5.39.9.0 5.39.9.3 NL  
5.39.9.4 5.39.9.27 FR  
5.39.9.28 5.39.9.35 ES  
5.39.9.36 5.39.9.99 FR  
5.39.9.100 5.39.9.103 NL  
5.39.9.104 5.39.9.231 FR  
5.39.9.232 5.39.9.235 ES  
5.39.9.236 5.39.10.19 FR  
5.39.10.20 5.39.10.23 NL  
5.39.10.24 5.39.10.31 FR  
5.39.10.32 5.39.10.35 ES  
5.39.10.36 5.39.10.143 FR  
5.39.10.144 5.39.10.147 ES  
5.39.10.148 5.39.11.35 FR  
5.39.11.36 5.39.11.39 NL  
5.39.11.40 5.39.11.43 ES  
5.39.11.44 5.39.11.79 FR  
5.39.11.80 5.39.11.83 NL  
5.39.11.84 5.39.11.95 FR  
5.39.11.96 5.39.11.103 NL  
5.39.11.104 5.39.12.3 FR  
5.39.12.4 5.39.12.7 NL  
5.39.12.8 5.39.12.55 FR  
5.39.12.56 5.39.12.59 NL  
5.39.12.60 5.39.12.195 FR  
5.39.12.196 5.39.12.199 NL  
5.39.12.200 5.39.13.247 FR  
5.39.13.248 5.39.13.251 NL  
5.39.13.252 5.39.17.71 FR  
5.39.17.72 5.39.17.72 DE  
5.39.17.73 5.39.17.75 FR  
5.39.17.76 5.39.17.76 DE  
5.39.17.77 5.39.17.91 FR  
5.39.17.92 5.39.17.95 DE  
5.39.17.96 5.39.18.27 FR  
5.39.18.28 5.39.18.28 DE  
5.39.18.29 5.39.18.63 FR  
5.39.18.64 5.39.18.71 ES  
5.39.18.72 5.39.18.87 FR  
5.39.18.88 5.39.18.91 ES  
5.39.18.92 5.39.18.127 FR  
5.39.18.128 5.39.18.135 NL  
5.39.18.136 5.39.18.139 DE  
5.39.18.140 5.39.19.83 FR  
5.39.19.84 5.39.19.87 CZ  
5.39.19.88 5.39.19.135 FR  
5.39.19.136 5.39.19.143 IT  
5.39.19.144 5.39.19.223 FR  
5.39.19.224 5.39.19.239 DE  
5.39.19.240 5.39.19.247 FR  
5.39.19.248 5.39.19.255 ES  
5.39.20.0 5.39.20.151 FR  
5.39.20.152 5.39.20.159 PL  
5.39.20.160 5.39.20.175 FR  
5.39.20.176 5.39.20.176 DE  
5.39.20.177 5.39.20.183 FR  
5.39.20.184 5.39.20.184 DE  
5.39.20.185 5.39.25.175 FR  
5.39.25.176 5.39.25.191 GB  
5.39.25.192 5.39.26.163 FR  
5.39.26.164 5.39.26.167 FI  
5.39.26.168 5.39.26.211 FR  
5.39.26.212 5.39.26.215 IT  
5.39.26.216 5.39.26.219 PT  
5.39.26.220 5.39.27.55 FR  
5.39.27.56 5.39.27.59 DE  
5.39.27.60 5.39.28.159 FR  
5.39.28.160 5.39.28.191 ES  
5.39.28.192 5.39.28.211 FR  
5.39.28.212 5.39.28.215 DE  
5.39.28.216 5.39.29.91 FR  
5.39.29.92 5.39.29.95 ES  
5.39.29.96 5.39.30.219 FR  
5.39.30.220 5.39.30.220 DE  
5.39.30.221 5.39.35.223 FR  
5.39.35.224 5.39.35.231 NL  
5.39.35.232 5.39.39.99 FR  
5.39.39.100 5.39.39.103 ES  
5.39.39.104 5.39.40.75 FR  
5.39.40.76 5.39.40.79 IT  
5.39.40.80 5.39.40.143 FR  
5.39.40.144 5.39.40.159 GB  
5.39.40.160 5.39.41.135 FR  
5.39.41.136 5.39.41.143 ES  
5.39.41.144 5.39.41.191 FR  
5.39.41.192 5.39.41.255 GB  
5.39.42.0 5.39.43.207 FR  
5.39.43.208 5.39.43.211 ES  
5.39.43.212 5.39.44.63 FR  
5.39.44.64 5.39.44.67 ES  
5.39.44.68 5.39.46.76 FR  
5.39.46.77 5.39.46.78 PT  
5.39.46.79 5.39.46.187 FR  
5.39.46.188 5.39.46.191 IE  
5.39.46.192 5.39.47.171 FR  
5.39.47.172 5.39.47.175 IT  
5.39.47.176 5.39.48.7 FR  
5.39.48.8 5.39.48.15 ES  
5.39.48.16 5.39.48.23 IT  
5.39.48.24 5.39.48.27 FR  
5.39.48.28 5.39.48.31 DE  
5.39.48.32 5.39.48.63 FR  
5.39.48.64 5.39.48.71 DE  
5.39.48.72 5.39.49.87 FR  
5.39.49.88 5.39.49.91 ES  
5.39.49.92 5.39.50.39 FR  
5.39.50.40 5.39.50.47 ES  
5.39.50.48 5.39.53.39 FR  
5.39.53.40 5.39.53.43 NL  
5.39.53.44 5.39.53.71 FR  
5.39.53.72 5.39.53.72 DE  
5.39.53.73 5.39.55.131 FR  
5.39.55.132 5.39.55.147 DE  
5.39.55.148 5.39.56.31 FR  
5.39.56.32 5.39.56.47 CH  
5.39.56.48 5.39.56.51 FR  
5.39.56.52 5.39.56.55 ES  
5.39.56.56 5.39.57.79 FR  
5.39.57.80 5.39.57.95 IE  
5.39.57.96 5.39.58.111 FR  
5.39.58.112 5.39.58.115 GR  
5.39.58.116 5.39.58.227 FR  
5.39.58.228 5.39.58.228 DE  
5.39.58.229 5.39.58.255 FR  
5.39.59.0 5.39.59.3 DE  
5.39.59.4 5.39.59.23 FR  
5.39.59.24 5.39.59.24 DE  
5.39.59.25 5.39.59.99 FR  
5.39.59.100 5.39.59.103 ES  
5.39.59.104 5.39.60.59 FR  
5.39.60.60 5.39.60.63 ES  
5.39.60.64 5.39.60.111 FR  
5.39.60.112 5.39.60.112 DE  
5.39.60.113 5.39.61.199 FR  
5.39.61.200 5.39.61.203 ES  
5.39.61.204 5.39.63.191 FR  
5.39.63.192 5.39.63.223 DE  
5.39.63.224 5.39.97.23 FR  
5.39.97.24 5.39.97.31 NL  
5.39.97.32 5.39.97.127 FR  
5.39.97.128 5.39.97.143 DE  
5.39.97.144 5.39.98.248 FR  
5.39.98.249 5.39.98.249 FI  
5.39.98.250 5.39.101.159 FR  
5.39.101.160 5.39.101.163 PL  
5.39.101.164 5.39.101.215 FR  
5.39.101.216 5.39.101.216 DE  
5.39.101.217 5.39.102.103 FR  
5.39.102.104 5.39.102.104 ES  
5.39.102.105 5.39.103.95 FR  
5.39.103.96 5.39.103.127 CZ  
5.39.103.128 5.39.103.235 FR  
5.39.103.236 5.39.103.239 ES  
5.39.103.240 5.39.106.63 FR  
5.39.106.64 5.39.106.127 GB  
5.39.106.128 5.39.108.59 FR  
5.39.108.60 5.39.108.63 DE  
5.39.108.64 5.39.108.147 FR  
5.39.108.148 5.39.108.151 IT  
5.39.108.152 5.39.109.86 FR  
5.39.109.87 5.39.109.94 ES  
5.39.109.95 5.39.109.95 FR  
5.39.109.96 5.39.109.98 ES  
5.39.109.99 5.39.109.100 FR  
5.39.109.101 5.39.109.103 ES  
5.39.109.104 5.39.109.105 FR  
5.39.109.106 5.39.109.107 ES  
5.39.109.108 5.39.109.114 FR  
5.39.109.115 5.39.109.120 ES  
5.39.109.121 5.39.109.124 FR  
5.39.109.125 5.39.109.125 ES  
5.39.109.126 5.39.109.127 FR  
5.39.109.128 5.39.109.159 ES  
5.39.109.160 5.39.112.75 FR  
5.39.112.76 5.39.112.79 BE  
5.39.112.80 5.39.113.171 FR  
5.39.113.172 5.39.113.175 DE  
5.39.113.176 5.39.113.211 FR  
5.39.113.212 5.39.113.215 GB  
5.39.113.216 5.39.114.11 FR  
5.39.114.12 5.39.114.12 DE  
5.39.114.13 5.39.121.127 FR  
5.39.121.128 5.39.121.191 PT  
5.39.121.192 5.39.122.143 FR  
5.39.122.144 5.39.122.147 IT  
5.39.122.148 5.39.122.207 FR  
5.39.122.208 5.39.122.211 NL  
5.39.122.212 5.39.126.67 FR  
5.39.126.68 5.39.126.71 DE  
5.39.126.72 5.39.126.235 FR  
5.39.126.236 5.39.126.239 DE  
5.39.126.240 5.39.127.31 FR  
5.39.127.32 5.39.127.35 DE  
5.39.127.36 5.39.127.247 FR  
5.39.127.248 5.39.127.251 LT  
5.39.127.252 5.39.127.255 FR  
5.39.128.0 5.39.159.255 HR  
5.39.160.0 5.39.167.255 RU  
5.39.168.0 5.39.175.255 NL  
5.39.176.0 5.39.183.255 GB  
5.39.184.0 5.39.191.255 NL  
5.39.192.0 5.39.199.255 PL  
5.39.200.0 5.39.207.255 RU  
5.39.208.0 5.39.215.255 ES  
5.39.216.0 5.39.223.255 NL  
5.39.224.0 5.39.239.255 FR  
5.39.240.0 5.39.247.255 DE  
5.39.248.0 5.39.255.255 GB  
5.40.0.0 5.40.255.255 ES  
5.41.0.0 5.41.255.255 SA  
5.42.0.0 5.42.127.255 RU  
5.42.128.0 5.42.135.255 JE  
5.42.136.0 5.42.143.255 DE  
5.42.144.0 5.42.151.255 IT  
5.42.152.0 5.42.191.255 FR  
5.42.192.0 5.42.223.255 IQ  
5.42.224.0 5.42.255.255 SA  
5.43.0.0 5.43.63.255 PT  
5.43.64.0 5.43.127.255 BA  
5.43.128.0 5.43.159.255 RU  
5.43.160.0 5.43.191.255 HR  
5.43.192.0 5.43.223.255 PS  
5.43.224.0 5.43.231.255 CZ  
5.43.232.0 5.43.239.255 IT  
5.43.240.0 5.43.247.255 RU  
5.43.248.0 5.43.255.255 IT  
5.44.0.0 5.44.15.255 RU  
5.44.16.0 5.44.31.255 GB  
5.44.32.0 5.44.39.255 AZ  
5.44.40.0 5.44.63.255 RU  
5.44.64.0 5.44.71.255 NO  
5.44.72.0 5.44.79.255 NL  
5.44.80.0 5.44.95.255 TR  
5.44.96.0 5.44.99.255 DE  
5.44.100.0 5.44.103.255 NL  
5.44.104.0 5.44.107.255 US  
5.44.108.0 5.44.108.31 PY  
5.44.108.32 5.44.111.255 DE  
5.44.112.0 5.44.127.255 CH  
5.44.128.0 5.44.135.255 GE  
5.44.136.0 5.44.143.255 DK  
5.44.144.0 5.44.159.255 TR  
5.44.160.0 5.44.167.255 FR  
5.44.168.0 5.44.175.255 RU  
5.44.176.0 5.44.183.255 SE  
5.44.184.0 5.44.191.255 EE  
5.44.192.0 5.44.207.255 SE  
5.44.208.0 5.44.215.255 AT  
5.44.216.0 5.44.223.255 LV  
5.44.224.0 5.44.239.255 GB  
5.44.240.0 5.44.247.255 FI  
5.44.248.0 5.44.255.255 GB  
5.45.0.0 5.45.7.255 DE  
5.45.8.0 5.45.15.255 ES  
5.45.16.0 5.45.31.255 GB  
5.45.48.0 5.45.55.255 GB  
5.45.56.0 5.45.59.255 CZ  
5.45.60.0 5.45.62.255 NL  
5.45.63.0 5.45.63.255 CZ  
5.45.64.0 5.45.79.255 NL  
5.45.80.0 5.45.95.255 RU  
5.45.96.0 5.45.111.255 DE  
5.45.112.0 5.45.127.255 EE  
5.45.128.0 5.45.143.255 JO  
5.45.144.0 5.45.151.255 GB  
5.45.152.0 5.45.159.255 NO  
5.45.160.0 5.45.175.255 ES  
5.45.176.0 5.45.183.255 DE  
5.45.184.0 5.45.191.255 LB  
5.45.192.0 5.45.255.255 RU  
5.46.0.0 5.47.255.255 TR  
5.48.0.0 5.51.255.255 FR  
5.52.0.0 5.52.255.255 IR  
5.53.0.0 5.53.7.255 ES  
5.53.8.0 5.53.15.255 CZ  
5.53.16.0 5.53.31.255 RU  
5.53.32.0 5.53.63.255 IR  
5.53.64.0 5.53.95.255 GB  
5.53.96.0 5.53.103.255 AE  
5.53.104.0 5.53.111.255 CH  
5.53.112.0 5.53.119.255 UA  
5.53.120.0 5.53.127.255 RU  
5.53.128.0 5.53.255.255 BG  
5.54.0.0 5.55.255.255 GR  
5.56.0.0 5.56.7.255 ES  
5.56.8.0 5.56.15.255 IT  
5.56.17.0 5.56.23.255 DE  
5.56.24.0 5.56.31.255 UA  
5.56.32.0 5.56.39.255 HU  
5.56.40.0 5.56.47.255 FR  
5.56.48.0 5.56.55.255 GB  
5.56.56.0 5.56.63.255 ES  
5.56.64.0 5.56.127.255 MD  
5.56.128.0 5.56.132.255 IR  
5.56.133.0 5.56.133.255 US  
5.56.134.0 5.56.135.255 GB  
5.56.136.0 5.56.143.255 RU  
5.56.144.0 5.56.159.255 DK  
5.56.160.0 5.56.167.255 ES  
5.56.168.0 5.56.175.255 GB  
5.56.176.0 5.56.255.255 DE  
5.57.0.0 5.57.7.255 LB  
5.57.8.0 5.57.15.255 KG  
5.57.16.0 5.57.20.128 NL  
5.57.20.129 5.57.20.129 GB  
5.57.20.130 5.57.23.255 NL  
5.57.24.0 5.57.31.255 ES  
5.57.32.0 5.57.39.255 IR  
5.57.40.0 5.57.47.255 DE  
5.57.48.0 5.57.55.255 DK  
5.57.56.0 5.57.63.255 GB  
5.57.64.0 5.57.71.255 UA  
5.57.72.0 5.57.79.255 RS  
5.57.80.0 5.57.95.255 GB  
5.57.96.0 5.57.96.255 RE  
5.57.97.0 5.57.97.255 FR  
5.57.98.0 5.57.98.255 RE  
5.57.99.0 5.57.100.255 FR  
5.57.101.0 5.57.101.255 RE  
5.57.102.0 5.57.102.255 FR  
5.57.103.0 5.57.103.255 RE  
5.57.104.0 5.57.105.255 FR  
5.57.106.0 5.57.106.255 RE  
5.57.107.0 5.57.112.255 FR  
5.57.113.0 5.57.113.255 RE  
5.57.114.0 5.57.127.255 FR  
5.57.128.0 5.57.191.255 PL  
5.57.192.0 5.57.199.255 DE  
5.57.200.0 5.57.207.255 CH  
5.57.208.0 5.57.215.255 AE  
5.57.216.0 5.57.223.255 RU  
5.57.224.0 5.57.227.255 ES  
5.57.228.0 5.57.231.255 NL  
5.57.232.0 5.57.239.255 RU  
5.57.240.0 5.57.247.255 SE  
5.57.248.0 5.57.255.255 NL  
5.58.0.0 5.58.255.255 UA  
5.59.0.0 5.59.255.255 CZ  
5.60.0.0 5.60.255.255 PL  
5.61.0.0 5.61.7.255 IT  
5.61.8.0 5.61.23.255 RU  
5.61.24.0 5.61.25.255 IR  
5.61.26.0 5.61.27.255 US  
5.61.28.0 5.61.28.255 NL  
5.61.29.0 5.61.31.255 US  
5.61.32.0 5.61.71.255 DE  
5.61.72.0 5.61.79.255 IR  
5.61.80.0 5.61.87.255 DE  
5.61.88.0 5.61.95.255 FI  
5.61.96.0 5.61.111.255 BG  
5.61.112.0 5.61.119.255 IE  
5.61.120.0 5.61.127.255 GB  
5.61.128.0 5.61.191.255 DE  
5.61.192.0 5.61.199.255 GB  
5.61.200.0 5.61.215.255 ES  
5.61.216.0 5.61.223.255 IT  
5.61.224.0 5.61.231.255 CH  
5.61.232.0 5.61.239.255 RU  
5.61.240.0 5.61.247.255 HU  
5.61.248.0 5.61.255.255 NL  
5.62.0.0 5.62.5.255 GB  
5.62.6.145 5.62.6.145 GB  
5.62.6.169 5.62.6.169 GB  
5.62.6.212 5.62.6.212 GB  
5.62.8.0 5.62.8.255 GB  
5.62.12.0 5.62.19.255 GB  
5.62.21.136 5.62.21.136 GB  
5.62.24.0 5.62.31.255 GB  
5.62.64.0 5.62.71.255 DE  
5.62.72.0 5.62.79.255 IT  
5.62.80.0 5.62.91.255 IM  
5.62.92.0 5.62.93.255 GI  
5.62.94.0 5.62.95.255 IM  
5.62.96.0 5.62.125.255 DE  
5.62.126.0 5.62.127.255 TR  
5.62.128.0 5.62.152.255 RU  
5.62.153.0 5.62.153.255 US  
5.62.154.0 5.62.154.127 LV  
5.62.154.128 5.62.154.255 LT  
5.62.155.0 5.62.155.255 RU  
5.62.156.0 5.62.156.255 US  
5.62.157.0 5.62.157.255 FR  
5.62.158.0 5.62.158.255 US  
5.62.159.0 5.62.159.255 DE  
5.62.160.0 5.62.255.255 RU  
5.63.0.0 5.63.7.255 LY  
5.63.8.0 5.63.15.255 IR  
5.63.16.0 5.63.23.255 GB  
5.63.24.0 5.63.31.255 FR  
5.63.32.0 5.63.63.255 TR  
5.63.64.0 5.63.127.255 KZ  
5.63.128.0 5.63.131.255 US  
5.63.132.0 5.63.135.255 LU  
5.63.136.0 5.63.143.255 IT  
5.63.144.0 5.63.151.255 GB  
5.63.152.0 5.63.159.255 RU  
5.63.160.0 5.63.167.255 AM  
5.63.168.0 5.63.175.255 IT  
5.63.176.0 5.63.183.255 DE  
5.63.184.0 5.63.191.255 PL  
5.63.192.0 5.63.255.255 HU  
5.64.0.0 5.71.255.255 GB  
5.72.0.0 5.75.127.255 IR  
5.75.128.0 5.75.255.255 RU  
5.76.0.0 5.76.255.255 KZ  
5.77.0.0 5.77.31.255 RU  
5.77.32.0 5.77.63.255 GB  
5.77.64.0 5.77.127.255 IT  
5.77.128.0 5.77.255.255 AM  
5.78.0.0 5.78.255.255 IR  
5.79.0.0 5.79.63.255 GB  
5.79.64.0 5.79.127.255 NL  
5.79.128.0 5.79.255.255 RU  
5.80.0.0 5.81.255.255 GB  
5.82.0.0 5.82.255.255 SA  
5.83.0.0 5.83.7.255 NL  
5.83.8.0 5.83.15.255 GB  
5.83.16.0 5.83.23.255 UA  
5.83.24.0 5.83.31.255 DK  
5.83.32.0 5.83.47.255 RO  
5.83.48.0 5.83.55.255 ES  
5.83.56.0 5.83.63.255 FI  
5.83.64.0 5.83.95.255 ES  
5.83.96.0 5.83.103.255 GB  
5.83.104.0 5.83.111.255 IT  
5.83.112.0 5.83.119.255 AE  
5.83.120.0 5.83.127.255 IT  
5.83.128.0 5.83.191.255 DE  
5.83.192.0 5.83.223.255 GB  
5.83.224.0 5.83.231.255 NO  
5.83.232.0 5.83.239.255 FR  
5.83.240.0 5.83.255.255 IE  
5.84.0.0 5.99.255.255 IT  
5.100.0.0 5.100.63.255 DE  
5.100.64.0 5.100.127.255 RU  
5.100.128.0 5.100.143.255 DE  
5.100.144.0 5.100.151.255 FR  
5.100.152.0 5.100.159.255 VG  
5.100.160.0 5.100.167.255 YE  
5.100.168.0 5.100.175.255 GB  
5.100.176.0 5.100.191.255 NO  
5.100.192.0 5.100.223.255 BY  
5.100.224.0 5.100.231.255 NL  
5.100.232.0 5.100.239.255 IT  
5.100.248.0 5.100.255.255 IL  
5.101.0.0 5.101.43.255 RU  
5.101.44.0 5.101.44.255 DE  
5.101.45.0 5.101.45.255 RO  
5.101.46.0 5.101.95.255 RU  
5.101.96.0 5.101.108.255 NL  
5.101.109.0 5.101.109.255 DE  
5.101.110.0 5.101.110.255 NL  
5.101.111.0 5.101.111.255 GB  
5.101.112.0 5.101.127.255 EE  
5.101.128.0 5.101.135.255 RU  
5.101.136.0 5.101.151.255 GB  
5.101.152.0 5.101.159.255 RU  
5.101.160.0 5.101.167.255 DE  
5.101.168.0 5.101.175.255 GB  
5.101.176.0 5.101.191.255 EE  
5.101.192.0 5.101.216.255 RU  
5.101.217.0 5.101.217.127 UZ  
5.101.217.128 5.101.217.255 BG  
5.101.218.0 5.101.218.127 RU  
5.101.218.128 5.101.218.255 NI  
5.101.219.0 5.101.219.127 TH  
5.101.219.128 5.101.219.255 GR  
5.101.220.0 5.101.220.127 GE  
5.101.220.128 5.101.220.255 LV  
5.101.221.0 5.101.221.127 CY  
5.101.221.128 5.101.221.255 CU  
5.101.222.0 5.101.222.127 AM  
5.101.222.128 5.101.222.255 QA  
5.101.223.0 5.101.255.255 RU  
5.102.0.0 5.102.31.255 IT  
5.102.32.0 5.102.47.255 IR  
5.102.48.0 5.102.63.255 CZ  
5.102.64.0 5.102.71.255 PL  
5.102.72.0 5.102.75.255 FR  
5.102.76.0 5.102.76.255 GP  
5.102.77.0 5.102.79.255 FR  
5.102.80.0 5.102.95.255 GB  
5.102.96.0 5.102.127.255 PS  
5.102.128.0 5.102.135.255 ES  
5.102.136.0 5.102.143.255 NL  
5.102.144.0 5.102.151.255 CH  
5.102.152.0 5.102.159.255 RU  
5.102.160.0 5.102.167.255 DE  
5.102.168.0 5.102.169.255 GB  
5.102.171.0 5.102.175.255 GB  
5.102.176.0 5.102.183.255 BA  
5.102.184.0 5.102.191.255 GB  
5.102.192.0 5.102.255.255 IL  
5.103.0.0 5.103.255.255 DK  
5.104.0.0 5.104.15.255 TR  
5.104.16.0 5.104.23.255 CZ  
5.104.24.0 5.104.31.255 IT  
5.104.32.0 5.104.63.255 UA  
5.104.64.0 5.104.65.255 DE  
5.104.66.0 5.104.67.255 FR  
5.104.68.0 5.104.68.255 AT  
5.104.69.0 5.104.70.255 SE  
5.104.71.0 5.104.71.255 GB  
5.104.72.0 5.104.79.255 IQ  
5.104.80.0 5.104.87.255 FI  
5.104.88.0 5.104.95.255 CH  
5.104.96.0 5.104.103.255 FR  
